popularity,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value,size
0.7696335078534032,0.5,0.5,0.5,0.75,1.0,0.08293666718549786
0.5863874345549739,0.75,0.0,0.75,0.0,0.0,0.5389233382893309
0.3089005235602094,0.5,0.25,0.5,1.0,0.75,0.4989793761639826
0.24083769633507854,0.75,0.5,0.75,1.0,0.5,0.6912620207300035
0.2984293193717278,0.5,0.5,0.75,0.25,0.75,0.5856422847142373
0.49738219895287966,0.0,0.5,0.75,0.5,0.5,0.5572070435159702
0.9109947643979058,0.0,0.25,0.75,0.5,0.5,0.5104880970910638
0.6335078534031414,0.25,0.5,0.75,1.0,1.0,0.19464841883201167
0.968586387434555,0.0,0.5,0.75,0.25,0.75,0.5159058964351685
0.49738219895287966,0.25,0.5,0.75,1.0,0.5,0.509472943493901
0.4397905759162304,0.0,0.25,0.5,0.5,0.5,0.3872687185652397
0.8638743455497383,0.5,0.0,0.5,1.0,0.75,0.2911273962822291
0.4659685863874346,0.25,0.5,0.5,0.25,0.25,0.779955236474584
0.49738219895287966,0.25,0.75,1.0,0.0,0.25,0.44820200344596683
0.28272251308900526,0.0,0.75,1.0,0.0,0.25,0.35443083162003075
0.08376963350785341,0.25,0.5,0.75,1.0,0.5,0.4261975270934253
0.49738219895287966,0.25,0.25,0.75,0.75,0.5,0.340889615403082
0.7277486910994765,0.25,0.0,0.75,0.5,0.75,0.11814361054001027
0.49738219895287966,0.25,0.25,0.5,0.25,0.75,0.5064242005590999
0.49738219895287966,0.25,0.0,0.5,0.5,0.75,0.4414303012897216
0.4502617801047121,0.0,0.25,0.75,0.25,0.25,0.25050374763138306
0.49738219895287966,0.25,0.5,0.5,0.0,1.0,0.23019411140150203
0.19895287958115185,0.5,0.25,0.0,0.25,0.75,0.32193497603311255
0.49738219895287966,0.25,0.75,0.5,0.5,0.25,0.3896377749745432
0.026178010471204195,0.5,0.5,0.75,0.5,0.75,0.19803372288624888
0.6596858638743457,0.75,0.5,0.5,0.25,1.0,0.42721268069058804
0.6439790575916231,0.5,1.0,1.0,0.75,0.25,0.652669773321254
0.7329842931937174,0.5,0.5,0.75,0.5,0.5,0.23560862860229376
0.49738219895287966,0.25,0.75,0.75,0.75,0.25,0.517936203629494
0.2198952879581152,0.25,0.5,0.75,0.75,0.25,0.517936203629494
0.649214659685864,0.5,0.5,0.75,0.75,0.25,0.517936203629494
0.549738219895288,0.5,0.5,0.75,0.75,0.25,0.517936203629494
0.973821989528796,0.0,0.0,0.25,0.5,0.25,0.529785861867095
0.7486910994764399,0.0,0.5,1.0,0.75,0.5,0.5084577898967383
0.1099476439790576,0.5,1.0,0.75,0.75,0.25,0.6516546197240912
0.2356020942408377,1.0,0.0,0.5,0.5,1.0,0.10968035040441737
0.49738219895287966,0.5,0.5,0.25,1.0,1.0,0.05077737271801569
0.7172774869109949,0.25,0.5,0.5,0.25,0.75,0.6299888925865276
0.612565445026178,0.75,0.5,0.75,0.75,0.25,0.7461021959322123
0.2513089005235602,0.25,0.5,0.5,0.25,0.5,0.6553786729933063
0.6753926701570682,0.25,0.5,0.75,0.5,0.75,0.5263994637650868
0.6282722513089006,0.0,0.25,0.25,0.5,0.25,0.9167245835995242
0.49738219895287966,0.0,0.25,0.5,0.75,0.5,0.4126563108764767
0.49738219895287966,0.5,0.0,0.25,0.5,0.75,0.09292265771683494
0.17801047120418848,0.5,0.5,1.0,1.0,0.25,0.3828660728182979
0.4554973821989529,0.25,0.25,0.5,0.75,0.75,0.16147287671959581
0.5340314136125656,0.25,0.5,0.75,0.25,0.5,0.6509760272463646
0.10471204188481675,0.25,0.0,0.5,1.0,1.0,0.22579146565456015
0.43455497382198954,0.75,0.5,0.75,0.5,0.5,0.6479305664548762
0.052356020942408384,0.25,0.25,0.75,0.75,1.0,0.4614022823523959
0.518324607329843,0.5,0.5,0.5,1.0,0.5,0.2731857224138805
0.49738219895287966,0.0,0.25,0.75,0.75,0.5,0.5602525043074587
0.49738219895287966,0.0,0.5,0.5,1.0,0.5,0.4021616494987872
0.6858638743455499,0.75,0.0,0.5,0.25,0.25,0.5866574383114002
0.13089005235602094,0.5,0.5,1.0,1.0,0.75,0.3385194649460077
0.49738219895287966,0.0,0.5,0.25,0.5,0.5,0.8063601704785255
0.5078534031413613,0.5,0.5,0.5,0.5,0.75,0.05145487114797148
0.3193717277486911,0.25,0.5,0.75,0.25,0.75,0.47054413496571545
0.020942408376963352,0.5,0.75,0.5,0.5,0.75,0.28706678189357804
0.2617801047120419,0.0,0.5,0.75,0.5,0.5,0.7325631678108054
0.356020942408377,0.25,0.25,0.5,0.5,0.75,0.090384773723928
0.9319371727748692,0.25,1.0,0.5,0.25,0.25,0.41976457415215784
0.16230366492146597,0.0,0.25,0.75,0.5,0.5,0.34325320157353084
0.35078534031413616,0.25,0.5,0.75,0.5,0.5,0.18449469476484204
0.49738219895287966,0.5,0.75,0.25,0.25,0.0,0.8175334243339417
0.08900523560209424,0.25,0.25,0.25,1.0,0.75,0.14928665736255875
0.9633507853403143,0.25,0.25,0.5,0.5,0.25,0.14217839408687744
0.23036649214659688,0.5,0.75,0.75,0.5,0.25,0.5338475703035171
0.16753926701570682,0.0,0.25,0.5,0.25,0.5,0.003385304054237148
0.4083769633507854,0.0,0.0,0.5,0.5,0.75,0.12118907133149859
0.3298429319371728,0.0,0.75,0.5,0.0,0.25,0.39776228589515816
0.9895287958115184,0.25,0.5,0.75,1.0,0.75,0.5517892441718657
0.387434554973822,0.5,0.5,0.5,0.0,0.25,0.40521039243358825
0.9528795811518326,0.0,0.0,0.5,0.5,0.5,0.2738610327482945
0.7434554973821991,0.25,0.75,0.5,0.5,0.25,0.4475266931115529
0.1518324607329843,0.75,0.25,0.5,1.0,1.0,0.21936070080883463
0.193717277486911,0.5,0.5,0.5,0.75,0.75,0.5263994637650868
0.418848167539267,0.75,0.25,0.5,0.75,1.0,0.0883533724818315
0.49738219895287966,0.0,0.25,1.0,1.0,0.25,0.32464059356185204
0.8429319371727749,0.0,0.25,0.75,0.25,0.25,0.5961358520441559
0.49738219895287966,0.25,1.0,1.0,0.0,0.0,0.49525422884699655
0.05759162303664923,0.25,0.25,0.5,0.5,0.5,0.06533593062766901
0.2879581151832461,0.25,1.0,0.75,0.5,0.5,0.4620808748301225
0.9162303664921467,0.75,0.0,0.5,0.25,0.25,0.11103534726432895
0.49738219895287966,0.0,0.25,0.75,0.5,0.5,0.17501409293654446
0.49738219895287966,0.25,0.5,0.5,0.5,0.5,0.3903141793567281
0.08376963350785341,0.0,0.75,1.0,1.0,0.5,0.6235559396452602
0.49738219895287966,0.0,0.0,1.0,0.5,0.5,0.656732575805447
